likelihoods	likelihoods_no_int	interventional_likelihoods	interventional_likelihoods_no_int
-9.213044306166864	-8.392534443761551	-72.74267821757431	-87.34658508602358
-7.54108016863708	-7.688924279497691	-58.24432761479138	-396.3175224881675
-9.28007959947263	-8.195586294330857	-78.77863797450544	-89.14984508520621
-9.218222251044688	-7.519718480071024	-72.71847524757925	-58.16232667764663
-9.824478268131628	-8.344294244221588	-77.11019194219479	-198.78770592142828
-9.345554270557162	-7.4147327926329645	-75.44841016795387	-57.009766450941314
-7.537263428023645	-7.615440356700097	-58.363878258750084	-3000073.4991937424
-10.534422980923782	-7.508153857035697	-89.96388386002744	-101.38007910889885
-9.696681665735886	-7.619508921386691	-75.95770200669621	-330.70467421849804
-7.519995035054169	-7.50801045095358	-57.66383769656946	-57.73135378080321
