median	q25	q75	median_independent	q25_independent	q75_independent
-2914.361	-1000000.0	-1464.98	-282.695	-313.263	-268.656
-1659.841	-4171.366	-717.641	-282.394	-303.373	-262.202
-911.315	-1481.626	-441.702	-263.007	-269.016	-261.554
-470.141	-1120.563	-410.014	-254.011	-264.06	-237.978
-416.873	-850.702	-359.854	-244.848	-260.125	-230.261
-313.418	-411.54	-289.104	-233.816	-249.319	-228.904
-308.076	-398.107	-289.104	-228.024	-248.019	-222.442
-302.646	-396.119	-285.495	-222.938	-243.395	-217.45
-291.221	-310.636	-281.608	-216.892	-230.063	-211.052
-287.453	-310.27	-276.475	-214.689	-227.964	-207.638
-278.602	-307.451	-262.651	-213.162	-227.261	-203.293
-277.572	-296.358	-259.016	-213.162	-222.725	-201.444
-277.572	-296.358	-259.016	-213.162	-220.533	-201.444
-254.508	-281.804	-239.328	-208.539	-220.149	-198.959
-254.508	-281.804	-223.009	-205.176	-214.617	-198.744
-254.508	-268.289	-223.009	-205.176	-211.356	-198.467
-254.508	-265.752	-223.009	-199.874	-211.356	-192.559
-241.557	-265.752	-216.474	-199.874	-211.214	-192.295
-238.692	-257.514	-216.474	-198.154	-209.401	-190.439
-236.853	-256.621	-216.474	-198.154	-208.747	-189.56
-236.414	-256.017	-214.045	-196.325	-208.747	-187.81
-235.358	-249.088	-214.045	-196.325	-208.747	-187.551
-229.33	-249.088	-212.353	-193.134	-208.747	-186.568
-229.33	-249.088	-212.353	-193.134	-206.784	-186.466
-225.474	-246.595	-208.692	-192.033	-199.649	-186.149
-222.793	-239.704	-207.891	-190.585	-197.073	-185.441
-222.793	-239.704	-196.534	-189.502	-197.073	-185.441
-221.626	-239.589	-196.419	-189.502	-197.073	-185.017
-218.907	-228.432	-193.554	-188.567	-197.066	-184.139
-218.899	-228.432	-193.554	-188.55	-195.358	-183.149
-215.831	-228.034	-188.518	-188.175	-195.358	-182.722
-215.831	-228.018	-188.431	-187.883	-194.485	-182.722
-213.169	-228.018	-188.431	-186.927	-193.895	-180.604
-213.169	-228.018	-188.431	-186.866	-191.364	-180.604
-212.922	-228.018	-188.431	-186.189	-191.192	-180.604
-212.922	-228.018	-188.431	-185.575	-190.861	-180.521
-212.654	-223.779	-188.431	-185.478	-190.278	-180.102
-206.862	-223.779	-188.431	-184.591	-190.278	-179.772
-206.862	-223.779	-188.431	-183.981	-190.177	-179.772
-205.864	-220.734	-187.974	-183.826	-189.872	-179.772
-205.864	-220.399	-183.8	-183.807	-189.849	-179.66
-205.864	-220.399	-183.8	-183.401	-189.093	-178.779
-205.864	-220.399	-183.8	-183.393	-189.093	-178.64
-202.743	-220.399	-183.8	-182.873	-187.661	-178.64
-202.743	-220.399	-183.8	-182.462	-187.38	-178.64
-202.743	-220.399	-182.603	-181.706	-187.174	-178.188
-202.214	-220.235	-182.484	-181.706	-187.174	-178.136
-202.214	-215.209	-182.484	-181.426	-185.299	-178.136
-195.15	-215.209	-181.945	-180.847	-185.299	-177.047
-195.15	-215.209	-181.945	-180.847	-185.029	-176.106
-195.15	-209.143	-181.184	-177.532	-183.832	-175.894
-194.94	-209.143	-181.184	-177.532	-183.282	-175.894
-194.94	-207.917	-181.027	-177.532	-180.986	-174.325
-191.082	-207.917	-181.027	-177.372	-180.306	-174.325
-191.082	-207.917	-180.919	-175.514	-180.306	-173.752
-191.082	-206.691	-180.333	-175.371	-179.934	-173.503
-191.082	-206.691	-180.333	-175.371	-179.934	-173.083
-191.082	-204.78	-180.333	-175.371	-179.827	-173.083
-191.082	-203.925	-180.333	-175.371	-179.764	-172.996
-190.682	-203.727	-180.333	-175.371	-179.436	-172.985
-190.648	-203.727	-180.333	-174.798	-179.052	-172.985
-188.69	-203.727	-179.307	-174.359	-178.71	-172.985
-188.465	-203.727	-179.307	-173.929	-178.71	-172.267
-188.465	-203.497	-179.307	-173.929	-178.71	-172.247
-188.06	-202.856	-178.705	-173.929	-178.71	-172.247
-188.06	-202.856	-177.559	-173.929	-178.71	-172.247
-188.06	-202.856	-177.559	-172.498	-178.699	-171.495
-188.06	-202.829	-177.559	-172.395	-178.699	-171.495
-188.06	-202.359	-177.076	-172.395	-177.124	-171.066
-188.06	-202.351	-177.008	-171.836	-176.96	-170.947
-188.06	-202.351	-177.008	-171.836	-176.96	-170.947
-188.06	-202.175	-176.343	-171.836	-176.96	-170.947
-188.06	-202.175	-175.53	-171.836	-176.624	-170.947
-188.06	-202.175	-175.53	-171.831	-176.624	-170.947
-188.06	-202.175	-175.518	-171.679	-176.624	-170.031
-188.06	-201.663	-175.423	-171.679	-176.624	-170.031
-187.824	-201.663	-175.41	-171.679	-176.624	-169.994
-187.242	-201.253	-175.41	-171.679	-176.624	-169.954
-187.242	-201.253	-175.41	-171.679	-176.624	-169.954
-187.242	-201.253	-174.534	-171.679	-176.624	-169.954
-186.663	-200.488	-174.534	-171.679	-176.624	-169.954
-186.663	-200.488	-174.534	-171.625	-176.562	-169.658
-186.663	-200.488	-174.534	-171.617	-176.562	-169.658
-186.498	-200.488	-174.534	-171.617	-176.493	-169.651
-186.498	-200.488	-174.534	-171.419	-176.493	-169.651
-181.283	-191.779	-174.534	-171.171	-176.398	-169.255
-181.283	-191.779	-174.534	-171.171	-176.398	-169.255
-180.858	-191.465	-173.811	-171.171	-176.333	-169.255
-180.858	-191.457	-173.811	-171.136	-176.333	-169.255
-180.858	-191.457	-173.811	-171.136	-176.333	-169.255
-180.858	-191.365	-173.811	-171.136	-176.333	-169.255
-180.512	-190.666	-173.596	-170.955	-174.936	-169.255
-180.512	-190.666	-173.596	-170.49	-174.197	-169.255
-180.439	-190.666	-173.596	-170.49	-172.599	-169.255
-180.437	-190.666	-173.596	-170.49	-172.388	-169.255
-180.437	-190.666	-173.596	-170.146	-172.388	-169.07
-177.919	-190.666	-173.596	-170.082	-172.388	-168.578
-177.919	-189.343	-173.596	-170.082	-172.388	-168.578
-175.346	-189.343	-173.479	-170.082	-172.388	-168.578
-175.122	-189.205	-173.479	-170.082	-172.388	-168.563
-175.122	-189.205	-173.479	-168.85	-172.388	-168.418
-174.897	-189.205	-173.479	-168.85	-172.388	-168.392
-174.897	-189.205	-173.479	-168.85	-172.388	-168.226
-174.824	-189.181	-173.479	-168.801	-172.388	-168.047
-174.815	-189.181	-172.034	-168.801	-172.388	-168.047
-174.815	-189.181	-172.034	-168.801	-172.259	-168.047
-174.815	-189.181	-172.034	-168.739	-172.259	-168.047
-174.815	-187.21	-172.034	-168.739	-172.259	-167.915
-174.815	-187.21	-172.034	-168.739	-172.259	-167.904
-174.815	-187.21	-172.034	-168.58	-172.259	-167.88
-174.815	-187.21	-172.034	-168.563	-172.259	-167.628
-174.815	-187.21	-172.034	-168.557	-172.259	-167.617
-174.703	-187.21	-172.034	-168.557	-172.259	-167.617
-173.506	-186.938	-171.977	-168.557	-172.259	-167.617
-173.506	-186.938	-169.746	-168.364	-170.965	-167.617
-173.393	-186.938	-169.33	-168.023	-170.306	-167.485
-173.393	-186.938	-169.33	-167.808	-170.306	-167.485
