median	q25	q75	median_independent	q25_independent	q75_independent
-104.105	-117.345	-93.183	-88.101	-91.351	-73.744
-94.559	-103.196	-88.162	-78.514	-82.666	-70.714
-90.857	-93.219	-86.996	-73.367	-77.456	-65.34
-87.019	-91.03	-80.85	-65.848	-69.059	-63.466
-81.311	-88.357	-73.488	-65.463	-67.688	-62.881
-74.643	-80.098	-71.158	-64.389	-67.001	-62.872
-71.03	-76.848	-68.601	-63.674	-65.74	-61.115
-68.967	-72.708	-68.235	-63.564	-65.39	-61.115
-68.967	-72.708	-67.989	-61.855	-65.028	-60.98
-68.967	-72.172	-67.087	-60.917	-64.11	-59.794
-66.531	-70.988	-62.328	-59.278	-62.145	-57.96
-65.708	-69.36	-59.567	-58.549	-62.145	-57.71
-65.282	-69.354	-58.027	-58.549	-61.831	-57.71
-60.27	-67.628	-57.262	-58.394	-60.835	-57.664
-58.497	-65.153	-57.262	-58.081	-59.893	-56.833
-58.129	-64.385	-56.398	-57.611	-58.963	-56.653
-58.129	-64.042	-55.558	-57.143	-58.275	-56.653
-58.073	-64.042	-55.48	-56.701	-58.204	-55.608
-58.073	-63.353	-53.162	-56.427	-57.574	-55.346
-58.052	-61.165	-53.022	-56.327	-56.866	-54.912
-57.794	-61.165	-53.022	-55.96	-56.85	-54.899
-57.755	-61.108	-53.003	-55.955	-56.799	-54.531
-57.711	-60.996	-53.003	-55.901	-56.669	-54.463
-56.762	-58.203	-53.003	-55.069	-56.168	-54.449
-56.388	-58.187	-52.991	-54.484	-56.051	-53.962
-56.104	-58.171	-52.991	-54.47	-56.051	-53.742
-56.104	-58.129	-52.991	-54.47	-55.528	-53.502
-55.119	-57.998	-52.221	-54.348	-54.834	-53.502
-55.119	-57.998	-52.096	-54.348	-54.834	-53.502
-54.901	-57.998	-51.973	-53.828	-54.229	-53.197
-54.884	-57.998	-50.888	-53.817	-54.229	-53.141
-54.884	-57.998	-50.888	-53.728	-54.121	-53.041
-54.884	-57.998	-49.463	-53.638	-54.121	-52.512
-54.877	-57.272	-49.011	-53.41	-54.065	-52.512
-54.854	-57.272	-49.011	-53.223	-53.736	-52.397
-54.785	-57.111	-48.854	-53.171	-53.736	-52.397
-54.785	-55.96	-47.564	-53.153	-53.727	-52.396
-54.378	-55.96	-47.409	-53.119	-53.617	-52.276
-53.972	-55.96	-47.289	-52.868	-53.513	-52.203
-53.803	-55.945	-47.252	-52.803	-53.513	-52.085
-53.803	-55.945	-47.174	-52.603	-53.474	-52.085
-53.803	-55.942	-47.174	-52.483	-53.119	-52.037
-53.803	-55.942	-46.885	-52.483	-53.119	-51.783
-53.06	-55.942	-46.885	-52.483	-53.119	-51.782
-53.06	-55.05	-46.693	-52.46	-53.119	-51.757
-52.896	-54.944	-46.693	-52.308	-53.119	-51.753
-52.055	-53.913	-46.693	-52.295	-53.109	-51.753
-51.818	-53.913	-46.526	-52.196	-52.629	-51.753
-51.818	-53.808	-45.644	-52.196	-52.603	-51.702
-51.373	-53.808	-45.644	-52.196	-52.58	-51.702
-51.373	-53.749	-45.644	-52.196	-52.58	-51.702
-51.373	-53.749	-45.644	-52.177	-52.58	-51.694
-51.373	-53.749	-45.545	-52.162	-52.58	-51.637
-51.373	-53.71	-45.522	-52.162	-52.58	-51.637
-51.373	-52.884	-45.393	-52.162	-52.498	-51.637
-51.373	-52.807	-45.264	-52.159	-52.498	-51.622
-51.373	-52.807	-45.2	-52.083	-52.498	-51.622
-51.373	-52.807	-44.722	-52.022	-52.498	-51.593
-51.373	-52.693	-44.722	-51.602	-52.498	-51.183
-51.373	-52.693	-44.439	-51.587	-52.498	-51.183
-50.984	-52.348	-44.367	-51.571	-52.497	-51.182
-50.984	-52.253	-44.304	-51.571	-52.497	-51.131
-50.984	-52.253	-44.304	-51.571	-52.497	-51.131
-50.984	-52.253	-44.304	-51.571	-52.497	-51.131
-50.947	-52.231	-44.304	-51.571	-52.497	-51.03
