median	q25	q75	median_independent	q25_independent	q75_independent
-187.503	-260.155	-139.734	-123.652	-131.093	-117.454
-135.177	-145.939	-130.852	-118.316	-122.266	-115.27
-126.283	-139.329	-122.392	-114.538	-116.31	-110.23
-123.85	-130.466	-118.341	-110.998	-115.472	-105.48
-119.43	-123.35	-114.641	-108.057	-113.158	-104.821
-117.515	-120.285	-112.632	-106.047	-108.012	-104.596
-114.774	-117.936	-102.351	-104.742	-107.225	-103.008
-110.166	-116.743	-102.351	-103.258	-105.229	-102.202
-110.166	-115.285	-97.811	-101.596	-102.716	-100.388
-103.941	-110.748	-97.811	-101.016	-101.761	-98.666
-102.995	-108.911	-96.266	-100.519	-101.761	-98.666
-99.918	-108.271	-93.733	-100.111	-101.691	-97.762
-99.43	-106.34	-93.733	-99.525	-101.401	-97.537
-98.088	-104.55	-93.334	-97.751	-99.047	-96.035
-94.174	-103.129	-87.437	-97.29	-99.047	-96.035
-92.942	-101.962	-85.246	-97.222	-98.959	-96.035
-92.769	-98.063	-85.246	-95.958	-98.34	-94.117
-91.95	-97.25	-85.246	-95.764	-97.976	-93.837
-91.95	-96.102	-85.246	-94.646	-96.595	-93.764
-91.95	-95.72	-84.583	-94.646	-96.134	-93.764
-91.022	-95.72	-84.244	-94.63	-96.112	-93.764
-90.836	-93.531	-84.095	-94.264	-96.091	-93.746
-88.59	-92.65	-84.084	-93.389	-94.21	-91.904
-88.59	-92.65	-82.566	-93.225	-94.21	-91.904
-88.397	-92.65	-82.488	-92.391	-92.923	-91.61
-88.393	-92.631	-82.44	-92.197	-92.885	-91.602
-88.393	-91.933	-82.44	-92.197	-92.885	-91.254
-87.769	-91.586	-82.25	-91.91	-92.885	-90.85
-87.368	-91.421	-82.25	-91.44	-92.446	-90.824
-87.285	-91.421	-80.611	-91.192	-91.999	-90.685
-87.285	-91.421	-80.565	-91.192	-91.999	-90.345
-87.076	-91.421	-80.422	-91.133	-91.999	-90.253
-87.033	-91.421	-80.422	-90.775	-91.558	-90.253
-86.947	-90.943	-80.422	-90.747	-91.522	-90.161
-86.601	-90.715	-80.381	-90.747	-91.522	-89.739
-86.488	-90.57	-80.233	-90.747	-91.123	-89.721
-86.347	-90.57	-80.117	-90.638	-91.123	-89.721
-85.689	-90.266	-80.117	-90.578	-91.123	-89.721
-84.966	-90.096	-80.117	-90.399	-91.06	-89.512
-84.34	-85.804	-80.117	-90.399	-90.916	-89.512
-84.324	-85.804	-79.998	-90.399	-90.701	-89.512
-83.892	-85.752	-79.998	-90.288	-90.497	-89.301
-82.891	-85.591	-79.938	-90.166	-90.497	-89.275
-82.891	-85.591	-79.938	-90.046	-90.379	-89.223
-82.19	-85.591	-79.938	-89.976	-90.148	-89.197
-82.19	-84.637	-79.938	-89.976	-90.148	-89.197
-81.899	-84.637	-79.887	-89.875	-90.08	-89.163
-81.899	-84.423	-79.887	-89.796	-90.059	-89.002
-81.501	-84.081	-79.505	-89.73	-89.898	-89.001
-81.501	-83.969	-79.505	-89.726	-89.898	-88.995
-81.352	-83.969	-79.505	-89.685	-89.896	-88.995
-81.352	-83.969	-78.76	-89.685	-89.896	-88.989
-81.352	-83.661	-78.459	-89.58	-89.896	-88.907
-81.255	-83.661	-78.365	-89.58	-89.896	-88.896
-81.255	-83.459	-78.365	-89.546	-89.896	-88.618
-81.255	-83.459	-78.365	-89.537	-89.755	-88.578
-81.255	-83.417	-78.164	-89.288	-89.619	-88.561
-81.255	-83.361	-77.685	-89.139	-89.619	-88.543
-81.255	-83.361	-77.637	-89.139	-89.619	-88.543
-81.255	-83.361	-77.637	-89.136	-89.613	-88.46
-81.101	-82.923	-77.637	-89.087	-89.613	-88.457
-80.964	-82.923	-77.637	-89.087	-89.55	-88.42
-80.85	-82.922	-77.272	-89.087	-89.55	-88.42
-80.85	-82.922	-77.272	-89.087	-89.55	-88.386
-80.797	-82.906	-77.272	-89.087	-89.55	-88.386
-80.797	-82.904	-77.272	-89.009	-89.481	-88.386
-80.797	-82.904	-77.263	-89.009	-89.458	-88.35
-80.746	-82.832	-77.245	-89.009	-89.094	-88.321
-80.746	-81.968	-77.245	-88.988	-89.053	-88.313
-80.746	-81.968	-77.245	-88.988	-89.053	-88.251
-80.746	-81.968	-77.245	-88.988	-89.053	-88.251
-80.709	-81.964	-77.245	-88.988	-89.053	-88.251
-80.709	-81.964	-77.245	-88.988	-89.053	-88.217
-80.709	-81.936	-77.245	-88.988	-89.053	-88.217
-80.69	-81.936	-77.245	-88.988	-89.021	-88.217
-80.69	-81.936	-77.245	-88.988	-89.021	-88.217
-80.69	-81.936	-77.245	-88.988	-89.021	-88.196
-80.69	-81.936	-77.245	-88.988	-89.021	-88.196
-80.69	-81.936	-76.596	-88.988	-89.012	-88.196
-80.69	-81.936	-76.596	-88.988	-89.012	-88.196
-80.69	-81.936	-76.596	-88.988	-88.999	-88.175
-80.69	-81.936	-76.596	-88.988	-88.999	-88.175
-80.69	-81.936	-76.596	-88.97	-88.999	-88.175
-80.69	-81.867	-76.596	-88.931	-88.996	-88.175
-80.69	-81.867	-76.596	-88.882	-88.996	-88.175
-80.69	-81.867	-75.627	-88.612	-88.996	-88.167
-80.531	-81.867	-75.627	-88.612	-88.996	-88.167
-80.531	-81.867	-75.627	-88.597	-88.996	-88.167
-80.526	-81.867	-74.96	-88.558	-88.977	-88.167
-80.526	-81.867	-74.909	-88.558	-88.911	-88.167
-80.526	-81.861	-74.909	-88.558	-88.907	-88.128
-80.5	-81.861	-74.909	-88.506	-88.907	-87.986
-80.5	-81.861	-74.909	-88.506	-88.907	-87.986
-80.334	-81.861	-74.679	-88.506	-88.907	-87.986
-80.333	-81.861	-74.679	-88.506	-88.907	-87.982
-80.333	-81.861	-74.679	-88.506	-88.907	-87.982
-80.333	-81.814	-74.679	-88.491	-88.902	-87.982
-80.333	-81.814	-74.679	-88.362	-88.889	-87.982
-80.333	-81.812	-74.679	-88.353	-88.889	-87.935
-80.333	-81.812	-74.663	-88.353	-88.862	-87.935
-80.297	-81.792	-74.578	-88.353	-88.862	-87.933
-80.297	-81.146	-74.578	-88.353	-88.862	-87.933
-80.297	-81.071	-74.578	-88.353	-88.857	-87.916
-80.297	-81.069	-74.578	-88.353	-88.857	-87.916
-80.297	-81.069	-74.578	-88.353	-88.857	-87.898
-80.297	-81.069	-74.574	-88.353	-88.857	-87.881
-80.297	-81.069	-74.574	-88.353	-88.857	-87.881
-80.297	-81.069	-74.458	-88.353	-88.857	-87.881
-80.297	-81.069	-74.458	-88.353	-88.857	-87.877
-80.297	-81.069	-74.458	-88.353	-88.857	-87.85
-80.297	-81.069	-74.458	-88.353	-88.847	-87.85
-80.247	-81.069	-74.458	-88.353	-88.847	-87.85
-80.247	-81.069	-74.436	-88.353	-88.847	-87.85
-80.247	-81.059	-74.436	-88.347	-88.847	-87.85
-80.247	-81.059	-74.436	-88.347	-88.847	-87.82
-80.247	-81.059	-74.436	-88.306	-88.847	-87.82
-80.242	-81.059	-74.436	-88.306	-88.844	-87.768
-80.162	-81.059	-74.436	-88.292	-88.844	-87.768
-80.069	-81.059	-74.436	-88.292	-88.844	-87.767
-80.069	-81.059	-74.436	-88.272	-88.844	-87.766
-80.069	-81.059	-74.436	-88.272	-88.844	-87.766
-80.069	-81.031	-74.436	-88.272	-88.844	-87.766
-80.069	-81.031	-74.436	-88.205	-88.844	-87.766
-80.069	-81.031	-74.436	-88.205	-88.823	-87.766
-80.06	-81.031	-74.436	-88.205	-88.823	-87.766
-80.06	-81.028	-74.436	-88.205	-88.823	-87.766
-80.06	-81.028	-74.436	-88.205	-88.823	-87.766
-80.06	-81.028	-74.436	-88.205	-88.823	-87.76
-80.059	-81.028	-74.436	-88.205	-88.823	-87.76
-80.059	-81.028	-74.435	-88.205	-88.823	-87.757
-79.996	-81.028	-74.435	-88.205	-88.823	-87.757
-79.996	-81.028	-74.435	-88.205	-88.819	-87.757
-79.947	-81.028	-74.433	-88.205	-88.819	-87.757
-79.947	-81.028	-74.433	-88.205	-88.818	-87.757
-79.947	-81.028	-74.433	-88.205	-88.812	-87.757
-79.947	-81.027	-74.429	-88.192	-88.812	-87.757
-79.363	-80.916	-74.354	-88.186	-88.812	-87.757
-79.363	-80.916	-74.354	-88.186	-88.812	-87.732
-79.363	-80.916	-74.354	-88.186	-88.812	-87.702
-79.363	-80.916	-74.354	-88.185	-88.812	-87.702
-79.363	-80.916	-74.354	-88.185	-88.812	-87.702
-79.363	-80.916	-74.354	-88.184	-88.812	-87.702
-79.363	-80.916	-74.335	-88.167	-88.812	-87.661
-79.363	-80.916	-74.335	-88.167	-88.794	-87.63
-79.313	-80.916	-74.335	-88.167	-88.794	-87.618
-79.313	-80.914	-74.335	-88.167	-88.794	-87.614
-79.313	-80.914	-74.335	-88.165	-88.794	-87.614
-79.313	-80.863	-74.335	-88.165	-88.794	-87.581
-79.313	-80.863	-74.335	-88.165	-88.786	-87.581
-79.313	-80.863	-74.335	-88.165	-88.786	-87.58
-79.313	-80.863	-74.335	-88.102	-88.786	-87.58
-79.313	-80.863	-74.332	-88.102	-88.786	-87.58
-79.313	-80.863	-74.332	-88.102	-88.786	-87.58
-79.303	-80.863	-74.332	-88.102	-88.786	-87.58
-79.303	-80.863	-74.332	-88.102	-88.786	-87.576
-79.002	-79.978	-74.303	-88.102	-88.786	-87.574
-79.002	-79.978	-74.303	-88.099	-88.786	-87.574
-79.002	-79.978	-74.303	-88.099	-88.786	-87.574
-79.002	-79.978	-74.303	-88.099	-88.786	-87.568
-79.002	-79.978	-74.303	-88.099	-88.786	-87.568
-79.002	-79.978	-74.303	-88.099	-88.786	-87.568
-79.002	-79.959	-74.303	-88.099	-88.786	-87.568
-79.002	-79.959	-74.303	-88.099	-88.786	-87.568
-78.944	-79.959	-74.285	-88.099	-88.786	-87.568
-78.944	-79.959	-74.285	-88.099	-88.786	-87.555
-78.944	-79.959	-74.285	-88.099	-88.786	-87.555
-78.944	-79.959	-74.285	-88.099	-88.786	-87.555
-78.908	-79.937	-74.277	-88.098	-88.786	-87.555
-78.908	-79.937	-74.277	-88.098	-88.786	-87.547
-78.852	-79.937	-74.277	-88.09	-88.786	-87.547
-78.852	-79.937	-74.277	-88.09	-88.786	-87.537
-78.852	-79.937	-74.277	-88.09	-88.786	-87.537
-78.852	-79.937	-74.277	-88.09	-88.786	-87.537
-78.852	-79.937	-74.277	-88.09	-88.786	-87.537
-78.852	-79.937	-74.277	-88.09	-88.786	-87.537
-78.852	-79.937	-74.242	-88.09	-88.786	-87.537
-78.852	-79.937	-74.242	-88.071	-88.786	-87.537
-78.852	-79.937	-74.242	-88.071	-88.786	-87.537
-78.852	-79.937	-74.242	-88.071	-88.785	-87.532
-78.852	-79.937	-74.242	-88.071	-88.785	-87.529
-78.852	-79.937	-74.242	-88.071	-88.785	-87.529
-78.852	-79.937	-74.242	-88.071	-88.785	-87.529
-78.749	-79.937	-74.228	-88.071	-88.785	-87.529
-78.749	-79.935	-74.228	-88.071	-88.785	-87.529
-78.749	-79.935	-74.228	-88.071	-88.785	-87.526
-78.749	-79.935	-74.228	-88.071	-88.785	-87.521
-78.749	-79.935	-74.228	-88.071	-88.785	-87.52
-78.658	-79.935	-74.228	-88.07	-88.784	-87.52
-78.658	-79.935	-74.228	-88.07	-88.784	-87.52
