median	q25	q75	median_independent	q25_independent	q75_independent
-134.762	-140.706	-124.935	-151.863	-152.438	-150.512
-134.762	-140.609	-124.935	-151.863	-152.417	-150.512
-134.762	-140.609	-124.935	-151.863	-152.417	-150.512
-134.762	-140.609	-124.809	-151.863	-152.417	-150.29
-134.762	-140.609	-124.809	-151.863	-152.417	-150.29
-130.138	-140.194	-124.166	-151.863	-152.415	-150.286
-130.138	-140.194	-124.166	-151.863	-152.38	-150.286
-130.138	-140.194	-124.166	-151.863	-152.38	-150.286
-130.138	-140.194	-124.166	-151.863	-152.349	-150.286
-130.138	-140.194	-124.166	-151.863	-152.349	-150.286
-130.006	-140.194	-124.166	-151.863	-152.349	-150.286
-128.539	-140.118	-124.166	-151.859	-152.349	-150.286
-128.35	-139.88	-123.468	-151.859	-152.344	-150.286
-128.35	-139.88	-123.468	-151.718	-152.297	-150.286
-128.068	-139.88	-123.468	-151.718	-152.259	-150.285
-128.068	-139.319	-123.468	-151.678	-152.258	-150.285
-128.068	-139.319	-123.468	-151.672	-152.237	-150.285
-128.068	-139.319	-123.468	-151.672	-152.237	-150.285
-128.068	-139.319	-123.468	-151.58	-152.237	-150.285
-128.068	-139.249	-123.448	-151.566	-152.206	-150.279
-128.068	-139.249	-122.656	-151.566	-152.206	-150.279
-128.068	-139.249	-121.44	-151.552	-152.206	-150.279
-127.832	-139.249	-121.44	-151.518	-152.191	-150.279
-127.832	-139.249	-121.44	-151.518	-152.191	-150.279
-127.832	-138.527	-121.397	-151.518	-152.175	-150.279
-127.832	-138.527	-121.397	-151.511	-152.174	-150.279
-127.832	-138.527	-121.397	-151.511	-152.174	-150.279
-127.832	-138.527	-121.397	-151.511	-152.144	-150.269
-127.832	-138.527	-121.397	-151.511	-152.144	-150.269
-127.832	-134.776	-121.397	-151.454	-152.14	-150.269
-127.832	-134.776	-121.397	-151.454	-152.14	-150.145
-127.832	-134.776	-121.139	-151.454	-152.14	-150.144
-127.832	-134.034	-121.139	-151.271	-151.878	-150.112
-127.832	-134.034	-121.139	-151.063	-151.787	-150.112
-127.832	-133.749	-120.97	-151.063	-151.774	-150.112
-127.822	-133.255	-120.649	-151.063	-151.774	-150.112
-127.822	-133.255	-120.649	-151.063	-151.774	-150.112
-127.822	-133.255	-120.591	-151.063	-151.773	-150.102
-127.822	-133.255	-120.591	-150.997	-151.773	-150.094
-127.436	-133.025	-120.591	-150.997	-151.773	-150.094
-127.362	-132.831	-120.591	-150.986	-151.773	-150.094
-127.362	-132.831	-120.591	-150.986	-151.772	-150.094
-127.362	-132.831	-120.591	-150.98	-151.748	-150.094
-127.115	-132.795	-120.591	-150.98	-151.748	-150.093
-127.115	-132.795	-120.591	-150.98	-151.748	-150.093
-127.115	-132.795	-120.591	-150.977	-151.739	-150.093
-127.115	-132.781	-120.591	-150.97	-151.739	-150.053
-127.115	-132.781	-120.591	-150.97	-151.739	-150.053
-127.115	-132.781	-120.591	-150.766	-151.739	-150.053
-125.594	-132.781	-120.591	-150.766	-151.739	-150.053
-125.594	-132.781	-120.347	-150.766	-151.738	-150.028
-125.435	-132.111	-120.347	-150.766	-151.72	-150.028
-125.435	-132.111	-120.347	-150.766	-151.72	-150.028
-125.435	-132.111	-120.331	-150.696	-151.72	-150.028
-125.435	-132.111	-120.331	-150.696	-151.72	-150.026
-125.165	-132.111	-120.331	-150.696	-151.697	-150.026
-125.165	-132.111	-120.311	-150.688	-151.697	-150.026
-125.165	-132.111	-120.311	-150.688	-151.697	-150.026
-124.806	-132.111	-120.248	-150.644	-151.697	-150.026
-124.806	-132.111	-120.248	-150.469	-151.697	-149.994
-124.806	-132.018	-120.248	-150.469	-151.697	-149.994
-124.806	-132.018	-120.248	-150.469	-151.697	-149.898
-124.806	-131.916	-120.248	-150.469	-151.697	-149.853
-124.806	-131.916	-120.248	-150.469	-151.697	-149.853
-124.806	-131.916	-120.248	-150.469	-151.697	-149.853
-124.806	-131.842	-120.141	-150.469	-151.697	-149.853
-124.806	-131.842	-120.141	-150.469	-151.695	-149.853
-124.806	-131.842	-120.141	-150.469	-151.695	-149.853
-124.806	-131.827	-120.141	-150.469	-151.695	-149.853
-123.651	-131.827	-120.141	-150.469	-151.694	-149.853
-123.651	-131.827	-120.141	-150.282	-151.694	-149.853
-123.651	-131.827	-120.141	-150.282	-151.694	-149.853
-123.322	-131.458	-120.141	-150.282	-151.694	-149.809
-123.031	-131.458	-120.066	-150.282	-151.694	-149.809
-123.031	-131.458	-120.066	-150.282	-151.694	-149.809
-123.031	-131.458	-120.066	-150.282	-151.694	-149.809
-123.031	-131.458	-120.066	-150.282	-151.694	-149.809
-123.031	-131.458	-120.066	-150.278	-151.694	-149.809
-123.031	-131.442	-120.066	-150.264	-151.694	-149.809
-123.031	-131.442	-120.066	-150.264	-151.694	-149.809
-123.031	-131.442	-120.061	-150.264	-151.692	-149.809
-123.031	-131.385	-120.061	-150.264	-151.692	-149.809
