likelihoods	likelihoods_no_int	interventional_likelihoods	interventional_likelihoods_no_int
-7.623545965018526	-6.4260884223135	-58.2321371007187	-55.855135188797846
-7.1303998270558075	-6.9633829585680465	-55.26086504848773	-64.26061306154526
-6.72363953168966	-7.032743101563724	-51.92230679605923	-70.82923806457431
-6.239950381896441	-6.766331220374857	-47.3683443674326	-56.01835761720278
-7.191660003632604	-6.474355755621852	-54.96528009416452	-243.87439640944007
-7.098557941883571	-6.894417202746795	-54.74169613923657	-75.32466633081087
-6.495486563629789	-2.7936200213268525	-51.271744004860984	-21.73922293957646
-7.007612939026601	-7.1837160294688305	-53.759317888154406	-55.347724011436156
-7.063485641726677	-6.222080247208182	-54.46966301505303	-531.9457168339527
-7.433909451442835	-7.386776078100967	-58.89190212753513	-64.00345610034088
