median	q25	q75	median_independent	q25_independent	q75_independent
-103.779	-123.434	-95.714	-91.205	-94.244	-88.875
-96.536	-107.217	-91.318	-86.115	-88.402	-82.846
-92.078	-93.956	-89.814	-80.595	-83.401	-78.013
-91.656	-92.087	-87.825	-76.436	-81.905	-75.35
-86.421	-86.553	-82.026	-74.282	-79.836	-71.406
-82.826	-86.218	-80.96	-71.01	-76.131	-69.688
-80.616	-84.127	-78.949	-69.983	-75.055	-67.444
-79.904	-83.862	-76.791	-69.882	-73.492	-67.444
-77.263	-82.075	-76.117	-68.448	-73.179	-67.4
-74.983	-81.476	-69.484	-68.361	-70.916	-67.116
-74.763	-77.555	-69.484	-65.392	-70.67	-64.364
-74.634	-77.555	-69.484	-64.541	-66.15	-63.835
-74.407	-77.374	-69.484	-64.377	-65.675	-63.463
-71.721	-75.852	-69.484	-63.632	-65.675	-63.405
-71.721	-75.272	-68.817	-63.428	-65.243	-62.646
-71.666	-74.809	-68.817	-63.387	-64.881	-62.646
-70.216	-72.874	-68.817	-63.312	-63.928	-62.636
-70.216	-71.548	-68.583	-62.792	-63.928	-62.208
-69.908	-71.548	-67.953	-62.626	-63.813	-62.042
-69.903	-71.548	-67.075	-62.626	-63.616	-62.042
-68.273	-70.137	-66.488	-62.626	-63.32	-62.042
-67.127	-68.312	-66.441	-62.607	-63.272	-61.926
-66.419	-68.254	-65.132	-62.444	-63.163	-61.791
-66.194	-68.254	-65.132	-62.346	-62.708	-61.791
-66.194	-68.254	-64.771	-62.029	-62.673	-61.791
-65.693	-66.502	-64.405	-62.026	-62.258	-61.791
-65.693	-66.502	-64.225	-61.79	-62.258	-60.981
-65.645	-66.502	-64.225	-61.312	-62.065	-60.747
-65.645	-66.502	-64.225	-61.312	-61.731	-60.707
-65.645	-66.38	-64.203	-61.277	-61.731	-60.618
-65.313	-66.075	-64.2	-61.277	-61.731	-60.618
-65.313	-65.816	-64.153	-61.255	-61.595	-60.616
-64.356	-65.366	-63.112	-61.255	-61.595	-60.549
-64.356	-65.341	-63.112	-61.22	-61.595	-60.537
-64.356	-65.341	-63.112	-61.22	-61.494	-60.45
-64.242	-65.256	-62.404	-61.077	-61.494	-60.45
-64.03	-64.704	-62.404	-60.997	-61.494	-60.45
-63.812	-64.252	-62.404	-60.97	-61.458	-60.45
-63.69	-64.252	-62.178	-60.97	-61.375	-60.447
-63.02	-64.143	-60.81	-60.884	-61.307	-60.447
-63.02	-64.143	-60.684	-60.84	-61.307	-60.375
-62.385	-63.376	-60.684	-60.84	-61.278	-59.845
-62.157	-62.566	-60.345	-60.816	-61.184	-59.845
-62.14	-62.559	-60.345	-60.816	-61.184	-59.845
-62.049	-62.364	-59.629	-60.811	-61.127	-59.829
-62.049	-62.364	-59.629	-60.809	-61.127	-59.77
-62.039	-62.364	-58.808	-60.633	-61.098	-59.74
-61.786	-62.294	-58.808	-60.633	-60.983	-59.74
-61.548	-62.294	-58.624	-60.588	-60.983	-59.711
-61.548	-62.282	-58.586	-60.372	-60.806	-59.603
-61.548	-62.205	-58.482	-60.298	-60.806	-59.584
-61.27	-62.205	-58.375	-60.078	-60.665	-59.584
-61.27	-62.205	-58.355	-59.955	-60.665	-59.522
-61.27	-62.195	-58.355	-59.955	-60.665	-59.522
-61.27	-62.186	-57.222	-59.943	-60.665	-59.49
-61.22	-62.156	-57.213	-59.943	-60.66	-59.289
-61.044	-62.111	-57.18	-59.943	-60.66	-59.289
-61.044	-62.111	-57.18	-59.808	-60.499	-59.289
-61.044	-62.111	-57.18	-59.808	-60.471	-59.289
-61.044	-62.079	-57.132	-59.682	-60.382	-59.289
-61.044	-62.079	-57.132	-59.675	-60.382	-59.239
-61.044	-62.079	-57.086	-59.675	-60.382	-59.239
-61.044	-62.079	-56.948	-59.654	-60.382	-59.217
-60.808	-62.076	-56.948	-59.595	-60.315	-59.202
-60.808	-62.076	-56.948	-59.595	-60.205	-59.169
-60.808	-62.076	-56.836	-59.583	-60.186	-59.169
-60.808	-62.076	-56.6	-59.583	-60.186	-59.033
-60.808	-62.076	-56.592	-59.583	-60.186	-59.033
-60.808	-62.076	-56.592	-59.583	-60.182	-58.992
-60.808	-62.074	-56.592	-59.583	-60.154	-58.992
-60.808	-62.073	-56.592	-59.583	-60.154	-58.992
-60.791	-62.073	-56.554	-59.577	-60.154	-58.992
-60.791	-62.071	-56.554	-59.577	-60.154	-58.992
-60.791	-62.071	-56.554	-59.576	-60.154	-58.992
-60.791	-62.071	-56.554	-59.372	-60.112	-58.944
-60.784	-61.597	-56.554	-59.372	-60.112	-58.944
-60.761	-61.593	-56.554	-59.28	-60.112	-58.944
