likelihoods	likelihoods_no_int	interventional_likelihoods	interventional_likelihoods_no_int
-11.451021208955856	-10.308684198556202	-110.36611728706458	-139.82849384801165
-10.64130865612561	-9.81216602103395	-100.79259478445138	-5000052.26607823
-12.93278161155735	-11.493917137015112	-117.58224434652362	-126.79297547524611
-12.576193901071502	-10.205254421912501	-117.20978658150014	-132.90238965704717
-12.075646393171516	-12.746832930891266	-111.52655668495525	-190.81609683882095
-12.011055263431343	-12.392248101433617	-110.68035221271103	-214.75719650482228
-10.955137863820502	-10.428448265124254	-98.5303266611753	-2000084.404160392
-11.63792532462769	-10.977606205114883	-107.70666142972046	-3000083.0701094316
-11.866144821795235	-13.581071638167405	-109.03693523988923	-2000122.979178783
-11.651395615194803	-10.962528850021181	-107.68066197588007	-104.46849524221412
