likelihoods	likelihoods_no_int	interventional_likelihoods	interventional_likelihoods_no_int
-15.996603082815762	-12.520802822756897	-146.03691825011705	-238.05772816621018
-15.649115695913293	-12.580150082786004	-144.89378968537633	-182.39296099247656
-16.990578436289432	-15.077221864335506	-156.16824379231727	-161.9273865034084
-15.936754466058582	-15.930539705984403	-145.4764052766092	-155.53032632436415
-15.430355770429346	-13.437430767239688	-140.57107033151723	-134.30588901222515
-17.80061207975234	-14.639778453812282	-165.1802970424909	-158.36705468215965
-16.409181372195373	-13.133094584146683	-153.681146650324	-2000103.8852996917
-15.64767063084058	-15.527296117066795	-143.68982730988813	-2000118.9983249777
-17.44422107085171	-13.475354014022194	-159.71064257221693	-166.16086067420298
-14.826286087261199	-16.595522276157542	-140.66235648968652	-2000141.1910254809
