generation,class,fitness_mean,fitness_std,n,fitness_median,fitness_q1,fitness_q3
0,-2,-310.4389050056339,0.0,1,-310.4389050056339,-310.4389050056339,-310.4389050056339
0,-1,-11000000.0,0.0,1,-11000000.0,-11000000.0,-11000000.0
1,0,-285.8363367716036,0.0,1,-285.8363367716036,-285.8363367716036,-285.8363367716036
2,-3,-231.8887667493941,0.0,1,-231.8887667493941,-231.8887667493941,-231.8887667493941
2,0,-285.81077658544785,0.0,1,-285.81077658544785,-285.81077658544785,-285.81077658544785
3,-3,-231.8887667493941,0.0,1,-231.8887667493941,-231.8887667493941,-231.8887667493941
3,0,-285.81077658544785,0.0,1,-285.81077658544785,-285.81077658544785,-285.81077658544785
4,-5,-231.71192310690702,0.0,1,-231.71192310690702,-231.71192310690702,-231.71192310690702
4,-3,-231.8887667493941,0.0,1,-231.8887667493941,-231.8887667493941,-231.8887667493941
4,-2,-262.0117607257183,0.0,1,-262.0117607257183,-262.0117607257183,-262.0117607257183
4,-1,-283.4970393796119,0.0,1,-283.4970393796119,-283.4970393796119,-283.4970393796119
4,0,-285.81077658544785,0.0,1,-285.81077658544785,-285.81077658544785,-285.81077658544785
5,-3,-225.57533133056384,0.0,1,-225.57533133056384,-225.57533133056384,-225.57533133056384
5,-1,-231.42073352278402,0.0,1,-231.42073352278402,-231.42073352278402,-231.42073352278402
5,0,-285.81077658544785,0.0,1,-285.81077658544785,-285.81077658544785,-285.81077658544785
6,-3,-225.57533133056384,0.0,1,-225.57533133056384,-225.57533133056384,-225.57533133056384
6,-1,-231.42073352278402,0.0,1,-231.42073352278402,-231.42073352278402,-231.42073352278402
6,0,-285.81077658544785,0.0,1,-285.81077658544785,-285.81077658544785,-285.81077658544785
7,-3,-223.06511683117702,0.0,1,-223.06511683117702,-223.06511683117702,-223.06511683117702
7,-1,-231.42073352278402,0.0,1,-231.42073352278402,-231.42073352278402,-231.42073352278402
7,0,-283.78826491091775,0.0,1,-283.78826491091775,-283.78826491091775,-283.78826491091775
8,-3,-206.7687589201921,0.0,1,-206.7687589201921,-206.7687589201921,-206.7687589201921
8,-1,-231.42073352278402,0.0,1,-231.42073352278402,-231.42073352278402,-231.42073352278402
8,0,-281.9048225706701,0.0,1,-281.9048225706701,-281.9048225706701,-281.9048225706701
9,-3,-206.7687589201921,0.0,1,-206.7687589201921,-206.7687589201921,-206.7687589201921
9,-1,-231.42073352278402,0.0,1,-231.42073352278402,-231.42073352278402,-231.42073352278402
9,0,-281.9048225706701,0.0,1,-281.9048225706701,-281.9048225706701,-281.9048225706701
10,-3,-205.8297504562378,0.0,1,-205.8297504562378,-205.8297504562378,-205.8297504562378
10,-1,-222.72750523077468,0.0,1,-222.72750523077468,-222.72750523077468,-222.72750523077468
10,0,-279.1485874369414,0.0,1,-279.1485874369414,-279.1485874369414,-279.1485874369414
11,-3,-195.8005975361193,0.0,1,-195.8005975361193,-195.8005975361193,-195.8005975361193
11,-1,-222.72750523077468,0.0,1,-222.72750523077468,-222.72750523077468,-222.72750523077468
11,0,-274.6574350914717,0.0,1,-274.6574350914717,-274.6574350914717,-274.6574350914717
12,-3,-195.8005975361193,0.0,1,-195.8005975361193,-195.8005975361193,-195.8005975361193
12,-1,-222.72750523077468,0.0,1,-222.72750523077468,-222.72750523077468,-222.72750523077468
12,0,-273.8935254003895,0.0,1,-273.8935254003895,-273.8935254003895,-273.8935254003895
