generation,class,fitness_mean,fitness_std,n,fitness_median,fitness_q1,fitness_q3
0,-1,-187.69477235064517,0.046205556640548935,3,-187.67744820327746,-187.7122922800459,-187.66859034756058
1,-2,-168.26941639398356,0.001400824642787307,3,-168.26970841412333,-168.2701783026508,-168.26880049538624
1,-1,-183.08922689652832,0.020896115481078927,3,-183.08144680931335,-183.09717189904703,-183.07739185040214
2,-2,-128.99030521182124,0.0034477779656963293,3,-128.98939035092707,-128.99175425142624,-128.98839874176912
2,-1,-183.08922689652832,0.020896115481078927,3,-183.08144680931335,-183.09717189904703,-183.07739185040214
2,0,-201.73355385088084,0.0036940477492351394,3,-201.73510345004763,-201.7356620822731,-201.73222041907195
3,-2,-123.5608206351106,9.406653253017655,3,-128.98939035092707,-128.99175425142624,-120.84417187670319
3,-1,-168.04002452851657,13.01923041946019,3,-160.52388111335821,-171.79860900242457,-160.5233683470294
3,0,-201.73355385088084,0.0036940477492351394,3,-201.73510345004763,-201.7356620822731,-201.73222041907195
4,-2,-121.18451884732254,8.166522648843099,3,-121.86521278856125,-125.42730156974416,-117.28208309552028
4,-1,-168.04002452851657,13.01923041946019,3,-160.52388111335821,-171.79860900242457,-160.5233683470294
4,0,-182.57729761636656,17.709907780828416,3,-179.1899748654336,-190.4630977899661,-172.99783606730057
5,-3,-106.48217529767852,0.0,1,-106.48217529767852,-106.48217529767852,-106.48217529767852
5,-2,-117.28208309552028,6.481524170013385,2,-117.28208309552028,-119.57364794204076,-114.99051824899979
5,-1,-157.08980729786688,0.0,1,-157.08980729786688,-157.08980729786688,-157.08980729786688
5,0,-148.33538715539854,37.03515260653939,3,-158.551773643157,-168.8708742542953,-132.908093300381
6,-3,-106.48217529767852,0.0,1,-106.48217529767852,-106.48217529767852,-106.48217529767852
6,-2,-117.28208309552028,6.481524170013385,2,-117.28208309552028,-119.57364794204076,-114.99051824899979
6,-1,-157.08980729786688,0.0,1,-157.08980729786688,-157.08980729786688,-157.08980729786688
6,0,-140.14997037284954,36.355598304250904,3,-133.99552329551003,-156.59274908047183,-120.62996812655751
7,-3,-104.8380031826553,2.3252105039415,2,-104.8380031826553,-105.66008924016691,-104.01591712514369
7,-2,-112.6989534024793,0.0,1,-112.6989534024793,-112.6989534024793,-112.6989534024793
7,0,-119.62596000686035,12.222559058349699,3,-119.90884697386157,-125.80673353148805,-113.5866299657333
8,-3,-104.8380031826553,2.3252105039415,2,-104.8380031826553,-105.66008924016691,-104.01591712514369
8,-2,-112.6989534024793,0.0,1,-112.6989534024793,-112.6989534024793,-112.6989534024793
8,0,-119.62596000686035,12.222559058349699,3,-119.90884697386157,-125.80673353148805,-113.5866299657333
