ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.0	13.291666666666666	184.95833333333334	131.9375	1	0	32	100	21.0	501.0	364.0	100	9.0	68.0	48.0	16	0	0	4.427233457565308	80	4.427233457565308	48	40.0	
99.1875	13.1	184.2625	131.375	1	1	49	141	26	537	390	59	9	67	46	27	0	0	7.138529539108276	160	11.565762996673584	106	33.75	
97.4375	11.75	155.3	110.4	2	2	62	130	21	501	364	59	8	68	47	26	0	0	6.111964702606201	240	17.677727699279785	169	29.58333333333333	
96.6875	9.8625	103.1875	72.6875	2	3	70	104	14	210	148	59	8	68	47	41	0	0	6.179176568984985	320	23.85690426826477	233	27.1875	
97.025	9.4375	100.4625	70.75	4	4	75	113	14	210	148	59	8	76	54	38	0	0	6.078487157821655	400	29.935391426086426	304	24.0	
98.7375	9.375	98.1125	69.1375	4	5	85	112	14	187	131	62	9	73	51	34	0	0	7.979405164718628	480	37.914796590805054	370	22.916666666666657	
99.475	9.3	97.6125	68.675	1	6	93	125	13	187	128	76	8	73	51	30	0	0	7.103549480438232	560	45.018346071243286	437	21.964285714285708	
99.7	9.275	98.125	68.9	2	7	100	116	13	187	128	77	8	68	49	29	0	0	6.633954048156738	640	51.652300119400024	504	21.25	
100.5375	9.225	96.6875	67.8375	2	8	105	149	13	187	128	77	8	68	49	29	0	0	6.685370683670044	720	58.33767080307007	574	20.27777777777777	
100.6875	9.25	97.6625	68.4	2	9	111	149	13	187	128	77	8	68	49	30	0	0	6.85078501701355	800	65.18845582008362	643	19.625	
100.85	9.1125	94.975	66.4125	2	10	118	149	13	187	128	83	8	68	49	34	0	0	7.271348237991333	880	72.45980405807495	712	19.090909090909093	
100.7875	9.1375	94.425	66.05	2	11	129	149	13	162	111	83	8	68	49	33	0	0	6.366802215576172	960	78.82660627365112	775	19.270833333333343	
102.475	9.1125	93.275	65.2375	3	12	134	149	13	162	111	83	8	68	49	35	0	0	6.598055124282837	1040	85.42466139793396	846	18.65384615384616	
103.25	9.125	95.2	66.55	2	13	140	149	13	133	96	83	8	68	49	37	0	0	7.131267309188843	1120	92.5559287071228	915	18.30357142857143	
107.0125	9.225	97.3125	67.975	2	14	145	149	13	156	107	83	8	68	49	35	0	0	6.198708534240723	1200	98.75463724136353	984	18.0	
106.5125	9.2375	98.9375	68.9875	2	15	149	149	12	156	107	83	8	68	49	36	0	0	7.306812763214111	1280	106.06145000457764	1056	17.5	
106.9625	9.2375	98.575	68.7625	2	16	153	149	12	156	107	89	8	79	56	36	0	0	7.914051055908203	1360	113.97550106048584	1128	17.058823529411754	
107.3125	9.325	100.6	70.1375	2	17	157	149	15	186	127	89	8	79	56	37	0	0	7.424573659896851	1440	121.40007472038269	1200	16.666666666666657	
