generation,class,fitness_mean,fitness_std,n
0,-3,-19.666827929584894,0.0,1
0,-2,-28.12559897197806,6.222637939009309,2
0,-1,-35.817683959155985,0.5956893743003671,2
0,0,-44.42290098365396,0.0,1
1,-3,-19.666827929584894,0.0,1
1,-2,-20.885859726014928,0.818038879406062,2
1,-1,-29.975861525031487,7.665895141013908,2
1,0,-151.32477013494642,151.18207319679178,2
2,-2,-19.620065082866255,1.3335441289242262,2
2,-1,-22.34114778720039,1.1931063781861824,2
2,0,-148.62214423082872,155.00416340441586,2
3,-2,-19.43671886029839,1.5928348434895756,2
3,-1,-21.283813897455236,0.0,1
3,0,-22.27046056978179,0.5675927479381178,2
4,-2,-18.380342330775882,3.0867768585129296,2
4,-1,-20.550987888593543,1.036372480591952,2
4,0,-22.27046056978179,0.5675927479381178,2
5,-3,-18.042768101426915,0.0,1
5,-2,-18.160219887521173,3.3980770031464416,2
5,-1,-20.550987888593543,1.036372480591952,2
5,0,-22.27046056978179,0.5675927479381178,2
6,-3,-18.042768101426915,0.0,1
6,-2,-15.757416595602265,0.0,1
6,-1,-20.28551353974848,0.0,1
6,0,-19.718946218954652,0.8314505790224824,2
7,-2,-16.737732262923004,1.3863757121318154,2
7,-1,-20.28551353974848,0.0,1
7,0,-19.718946218954652,0.8314505790224824,2
8,-2,-17.064504152029915,1.1319710288368683,3
8,-1,-18.318265878087512,0.6231205416147028,2
8,0,-19.718946218954652,0.8314505790224824,2
9,-2,-17.064504152029915,1.1319710288368683,3
9,-1,-17.80399381447955,0.10416998548927556,2
9,0,-19.455030923208362,0.4582179884603683,2
10,-2,-15.990396469181789,0.3294832969761315,2
10,-1,-17.247273596435996,0.683151297315228,2
10,0,-19.455030923208362,0.4582179884603683,2
11,-2,-15.645049378427803,0.20299955063835515,2
11,-1,-16.934337245698302,1.125710128688018,2
11,0,-19.21421718384635,0.11765593224883288,2
12,-2,-15.645049378427803,0.20299955063835515,2
12,-1,-16.338590261078032,0.28319666329515675,2
12,0,-17.820257512156957,0.3460670976086412,2
13,-2,-15.124968753719775,0.0,1
13,-1,-15.146692361565876,0.0,1
13,0,-16.770560165678546,1.8305633213854573,2
14,-1,-14.929181277331445,0.0,1
14,0,-16.62543746689121,1.6253288325522208,2
15,-1,-14.929181277331445,0.0,1
15,0,-16.62543746689121,1.6253288325522208,2
16,-1,-14.929181277331445,0.0,1
16,0,-16.535780320820738,1.7521231844887482,2
17,-2,-14.864186131647987,0.0,1
17,-1,-14.929181277331445,0.0,1
17,0,-15.84418718473571,0.7740627917931602,2
18,-2,-14.864186131647987,0.0,1
18,-1,-14.929181277331445,0.0,1
18,0,-15.84418718473571,0.7740627917931602,2
19,-2,-14.864186131647987,0.0,1
19,-1,-15.076604890890835,0.2084884737097392,2
19,0,-15.84418718473571,0.7740627917931602,2
20,-2,-14.864186131647987,0.0,1
20,-1,-14.955246199800145,0.03686136685743932,2
20,0,-15.537053939832981,0.33971079139606475,2
21,-2,-14.864186131647987,0.0,1
21,-1,-14.929181277331445,0.0,1
21,0,-15.224429234849111,0.7818288891171394,2
