generation,class,fitness_mean,fitness_std,n,fitness_median,fitness_q1,fitness_q3
0,-2,-189.95787133153084,0.05328862890540023,4,-189.96014822440912,-189.97857099003045,-189.9394485659095
0,-1,-180.83735279921447,6.117882889121871,6,-183.32616291720166,-183.35413235026158,-183.29385929186878
0,0,-990.2248300083379,2.194617904608694,4,-989.8908413161622,-991.5232584473547,-988.5924128771453
1,-2,-170.69512211098964,0.00766283277035763,4,-170.69334839845527,-170.6981212353072,-170.6903492741377
1,-1,-153.1474700949705,7.4474416621856365,6,-150.10903111094586,-150.13307969752958,-150.0939977030908
1,0,-1600353.8899310732,3577954.575243104,5,-243.9599761995992,-243.963575163383,-243.959258829245
2,-3,-126.59614339729656,0.013486381561614288,5,-126.59890686164798,-126.60123071764068,-126.58949190788013
2,-2,-131.88632134151675,1.1244107391476246,5,-131.38670000743352,-131.40463532718644,-131.38289518354296
2,-1,-151.84708571216112,4.262181877329284,6,-150.10903111094586,-150.13307969752958,-150.0939977030908
2,0,-800266.9735867402,2530007.169774549,10,-243.73813248002807,-243.74162099770706,-164.3570674083242
3,-3,-106.58191168948943,18.28068417187989,5,-93.24347334632832,-126.60123071764068,-93.23452315061022
3,-2,-136.0746144406781,4.951825849766988,10,-135.3412192158966,-141.13001579705985,-131.39118383737176
3,-1,-151.74021658148357,4.000409856509288,6,-150.10903111094586,-150.13307969752958,-150.0939977030908
3,0,-195.51142327800432,61.56880633596215,10,-155.3817611830079,-243.28105919722782,-148.80591804995157
4,-3,-106.58191168948943,18.28068417187989,5,-93.24347334632832,-126.60123071764068,-93.23452315061022
4,-2,-129.03170175152252,4.273143938989517,7,-125.61481980980565,-133.4468254461471,-125.60646197490712
4,-1,-130.6522200070122,11.01009468160351,10,-126.2435711437569,-132.50970192517755,-124.68338652331437
4,0,-190.6358368619769,65.80705491007086,10,-155.3817611830079,-243.19876233853932,-136.67764711882597
5,-3,-106.96431513692893,11.386554510149395,8,-114.68289641062952,-115.54291139342658,-93.24123579739879
5,-2,-129.28917058834668,6.517199057361751,2,-129.28917058834668,-131.59334841224822,-126.98499276444515
5,-1,-125.8177014587548,12.912374122661973,10,-122.1466239565629,-122.73593405765338,-118.48682630748341
5,0,-155.8306303878873,58.358951802892356,10,-136.67712899203696,-150.69168195407957,-129.55999815039607
6,-3,-104.96343323612746,17.209552053648675,5,-93.24347334632832,-113.83184476746686,-93.23452315061022
6,-2,-117.47237015102824,8.806778675186923,7,-114.34039320665353,-120.83444719316633,-110.80433166293537
6,-1,-118.02536539553648,12.103875093066701,10,-111.55600472565578,-119.93200673580827,-110.59713827813593
6,0,-151.5863855630459,60.24532254809218,10,-129.18667422727387,-148.82279838929446,-127.18864243086907
7,-3,-97.95892560515557,9.454678128153386,4,-93.23899824846927,-97.96783826741725,-93.2300855862076
7,-2,-111.98570526961707,3.544086190997597,7,-110.81429185842585,-113.99276769332356,-110.79274268481792
7,-1,-112.75179129813588,3.888398367537661,8,-111.55072642692647,-112.41506453353435,-110.27649530145149
7,0,-128.899768509425,10.100100614279212,10,-127.18931078084451,-129.18755516733523,-126.152906247074
8,-3,-93.23158979664608,0.013589774688985415,3,-93.23452315061022,-93.23899824846927,-93.22564802180497
