ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.0	13.42	235.92	170.2	1	0	30	100	18.0	566.0	416.0	100	10.0	86.0	62.0	24	0	0	21.366552352905273	80	21.366552352905273	50	37.5	
99.2125	13.4875	226.775	163.3875	2	1	52	170	18	566	416	42	9	68	50	24	0	0	58.87732410430908	160	80.24387645721436	103	35.625	
102.95	12.9625	212.1	151.625	3	2	65	170	18	492	354	61	9	68	50	27	0	0	83.1729187965393	240	163.41679525375366	165	31.25	
103.0875	12.7375	206.85	147.375	3	3	76	170	21	628	429	80	9	68	50	27	0	0	97.18571949005127	320	260.60251474380493	230	28.125	
101.9625	12.925	212.4375	150.325	3	4	96	200	21	628	429	12	9	78	57	24	0	0	62.53140711784363	400	323.13392186164856	286	28.5	
103.65	13.025	214.8	151.675	1	5	113	200	21	628	429	12	10	84	63	23	0	0	86.05527257919312	480	409.1891944408417	345	28.125	
104.0625	12.825	210.65	148.7	1	6	130	200	18	438	309	12	10	84	63	24	0	0	62.46854496002197	560	471.65773940086365	404	27.85714285714286	
103.775	12.5375	199.575	141.05	1	7	142	200	18	438	309	56	10	104	75	25	0	0	61.15001940727234	640	532.807758808136	468	26.875	
104.025	12.4	190.725	135.0	1	8	154	200	18	438	309	94	10	104	75	26	0	0	101.59267234802246	720	634.4004311561584	532	26.111111111111114	
104.65	12.3	183.8375	130.075	1	9	160	200	18	415	285	94	10	104	75	27	0	0	40.97384524345398	800	675.3742763996124	602	24.75	
103.225	12.3	180.9125	128.1625	1	10	168	133	18	415	285	83	10	104	75	27	0	0	74.71898078918457	880	750.093257188797	670	23.86363636363636	
102.975	12.2125	174.75	124.0	1	11	190	133	19	315	229	83	10	107	76	27	0	0	26.193864583969116	960	776.2871217727661	724	24.58333333333333	
102.675	12.425	178.475	126.6875	2	12	204	123	19	429	312	83	10	107	76	26	0	0	64.19615983963013	1040	840.4832816123962	786	24.42307692307692	
