ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.0	13.42	235.92	170.2	1	0	30	100	18.0	566.0	416.0	100	10.0	86.0	62.0	24	0	0	1067.8599426746368	80	1067.8599426746368	50	37.5	
99.2125	13.4875	226.775	163.3875	2	1	52	170	18	566	416	42	9	68	50	24	0	0	727.8845088481903	160	1795.7444515228271	103	35.625	
102.95	12.9625	212.1	151.625	3	2	65	170	18	492	354	61	9	68	50	27	0	0	570.129147529602	240	2365.873599052429	165	31.25	
103.0875	12.7375	206.85	147.375	3	3	76	170	21	628	429	80	9	68	50	27	0	0	55981.46775007248	320	58347.34134912491	230	28.125	
102.3	12.75	207.6	147.1125	3	4	95	200	21	628	429	12	9	78	57	25	0	0	1153.0316202640533	400	59500.37296938896	287	28.25	
102.275	13.0125	214.25	151.4	4	5	109	200	21	628	429	12	9	78	57	24	0	0	416.03704023361206	480	59916.410009622574	349	27.29166666666667	
103.3	12.95	212.6625	150.3375	4	6	136	200	20	459	322	12	10	84	63	23	0	0	296.1184802055359	560	60212.52848982811	398	28.92857142857143	
103.2	12.975	214.35	151.45	2	7	158	200	19	464	323	12	10	84	63	23	0	0	2259.144360303879	640	62471.67285013199	452	29.375	
102.825	12.9625	207.5625	146.55	2	8	179	200	19	464	323	12	10	84	63	23	0	0	465.53837847709656	720	62937.211228609085	507	29.58333333333333	
103.7625	13.0875	205.8125	145.2375	2	9	199	200	19	505	363	60	10	100	71	23	0	0	408.77777671813965	800	63345.989005327225	563	29.625	
104.0125	12.9125	196.4875	138.375	2	10	220	200	18	505	363	60	10	100	71	24	0	0	439.797776222229	880	63785.786781549454	618	29.772727272727266	
102.5625	12.9125	199.9375	140.675	3	11	243	155	18	505	363	60	10	104	74	24	0	0	347.2129383087158	960	64132.99971985817	671	30.10416666666667	
101.075	12.8125	190.1125	133.9875	3	12	262	155	18	505	363	40	10	101	73	24	0	0	278.377503156662	1040	64411.37722301483	728	30.0	
101.575	12.7125	181.1625	127.5	3	13	279	155	17	330	226	40	10	101	73	23	0	0	780.0235812664032	1120	65191.400804281235	786	29.821428571428584	
