generation median_fitness fitness_25perc fitness_75perc
186 -83.11 -83.67 -83.11
187 -83.46 -86.01 -82.94
188 -83.25 -84.46 -82.43
189 -83.46 -86.01 -82.94
190 -83.67 -90.67 -83.10
191 -83.67 -90.67 -83.05
192 -83.67 -90.67 -83.05
193 -83.67 -90.67 -82.43
194 -83.36 -89.12 -82.59
195 -83.05 -88.92 -82.44
196 -83.05 -88.92 -82.44
197 -83.05 -85.42 -82.52
198 -83.05 -85.42 -82.52
199 -83.05 -83.66 -82.56
200 -83.05 -83.51 -82.68
201 -83.05 -83.66 -82.80
202 -83.05 -83.49 -82.68
203 -83.05 -83.34 -82.80
204 -83.05 -83.05 -82.56
205 -83.05 -83.05 -83.05
206 -83.05 -83.05 -82.80
207 -83.05 -83.05 -82.80
208 -83.05 -83.05 -83.05
209 -83.05 -83.05 -83.05
210 -83.05 -83.05 -83.05
211 -83.05 -83.05 -83.05
212 -83.05 -83.05 -83.05
213 -83.05 -83.05 -83.05
214 -82.56 -85.87 -81.29
215 -82.39 -85.31 -81.49
216 -82.39 -84.19 -81.88
217 -82.23 -83.64 -82.08
218 -83.64 -86.93 -82.18
219 -83.64 -86.93 -82.18
220 -83.64 -85.87 -82.05
221 -83.64 -85.87 -82.05
222 -82.51 -87.99 -81.64
223 -82.23 -85.87 -81.24
224 -82.92 -89.05 -82.10
225 -83.49 -87.99 -82.14
226 -82.86 -86.93 -82.05
227 -82.23 -84.68 -82.05
228 -82.09 -84.08 -81.83
229 -82.05 -83.49 -82.05
230 -82.05 -83.49 -82.05
231 -82.05 -83.49 -82.05
232 -82.05 -82.09 -82.05
233 -82.05 -82.05 -82.05
234 -81.91 -84.57 -81.15
235 -81.91 -83.92 -81.15
236 -81.91 -83.27 -81.15
237 -81.46 -83.27 -81.15
238 -81.75 -83.27 -81.15
239 -82.14 -83.27 -81.15
240 -82.50 -83.27 -81.15
241 -82.50 -83.27 -81.15
242 -83.27 -83.27 -81.15
243 -83.27 -83.27 -81.15
244 -83.27 -83.27 -81.15
245 -83.27 -83.27 -81.15
246 -81.72 -82.49 -81.15
247 -81.72 -81.72 -81.15
248 -81.72 -81.72 -81.15
249 -81.72 -81.72 -81.15
250 -81.15 -85.21 -81.15
251 -81.15 -84.56 -81.15
252 -81.15 -84.56 -81.15
253 -81.15 -84.56 -81.15
254 -81.15 -83.25 -81.15
255 -81.15 -83.25 -81.15
256 -81.15 -82.85 -81.15
257 -81.15 -82.85 -81.15
258 -81.15 -82.43 -81.15
259 -81.15 -83.23 -81.15
260 -81.15 -83.23 -81.15
261 -81.15 -83.23 -81.15
262 -81.15 -83.23 -81.15
263 -81.15 -83.23 -81.15
264 -81.15 -83.23 -81.15
265 -83.23 -85.29 -81.07
266 -81.60 -86.37 -80.72
267 -81.60 -83.92 -81.07
268 -81.60 -83.92 -81.07
269 -81.60 -84.47 -81.20
270 -81.60 -82.56 -81.60
271 -82.08 -89.61 -80.68
272 -82.08 -89.61 -80.68
273 -81.60 -89.61 -81.07
274 -81.07 -83.83 -80.29
275 -81.07 -83.83 -80.29
276 -81.07 -82.55 -81.07
277 -81.07 -82.55 -81.07
278 -81.07 -82.55 -81.07
279 -81.07 -83.19 -80.68
280 -81.07 -83.19 -80.68
281 -81.07 -82.55 -81.07
282 -81.56 -85.10 -79.51
283 -81.56 -85.10 -79.51
284 -81.56 -85.10 -79.51
285 -81.56 -84.46 -79.88
286 -81.56 -83.83 -80.26
287 -81.56 -82.55 -81.00
288 -81.56 -82.30 -81.14
289 -81.56 -81.81 -81.42
290 -81.56 -82.55 -81.56
291 -81.56 -82.55 -81.56
292 -81.56 -81.56 -81.56
293 -81.56 -81.56 -81.56
294 -81.56 -81.56 -81.56
295 -81.56 -81.56 -81.56
296 -81.56 -81.56 -81.56
297 -81.56 -81.56 -81.56
298 -81.56 -81.56 -81.56
299 -81.56 -81.56 -81.56
300 -81.55 -88.21 -81.00
