generation,median_fitness,fitness_25perc,fitness_75perc
0,-268.9104278785069,-269.0861144193788,-268.74128439855355
1,-269.26180096025075,-305.52310097452886,-268.9104278785069
2,-266.3998417273362,-305.7185560757679,-212.54313432049494
3,-266.3998417273362,-305.7185560757679,-183.99609304266409
4,-239.0833763276789,-266.52451404009463,-164.96550225748578
5,-159.64674228191421,-201.40614045504913,-156.75610511409454
6,-156.944507110112,-196.8847894392541,-156.69373488348455
7,-156.8177676972458,-195.5353789766348,-150.7254996518102
8,-156.8177676972458,-195.5353789766348,-148.14873603685817
9,-148.3445462030435,-166.75054927520716,-146.545573097416
10,-145.42295630575092,-166.2314983166417,-141.52558183861038
11,-144.97174739546494,-162.872993900027,-133.88777061357342
12,-141.90563401037355,-162.3174547867618,-133.88777061357342
13,-141.38027485703736,-156.29586665494122,-130.26629758968662
14,-141.01687938941456,-150.78401288476886,-130.26629758968662
15,-137.22961144050396,-149.62158679306373,-130.26629758968662
16,-135.2192182313389,-148.83166460550774,-129.52796409516867
17,-131.12577370046148,-147.87676204921829,-128.89436412900886
18,-131.0821896769164,-137.55186945542937,-128.8564517357839
19,-129.04590544290562,-134.5434473393385,-126.35557311065274
20,-127.65146968360068,-130.77826139318285,-126.41243019859462
21,-124.41215840462075,-127.42372888635005,-119.55375984413998
22,-121.77961145076128,-126.2107315524476,-119.45784862983913
23,-121.0336221149919,-124.23618946409422,-116.80540413763177
24,-120.84179968639022,-122.52560078653066,-115.7304762110149
25,-122.52560078653066,-122.52560078653066,-118.30258154625916
26,-120.18652909332238,-120.93771090069106,-115.08371260417626
27,-120.18652909332238,-120.93771090069106,-115.08371260417626
28,-118.4590711620675,-120.93771090069106,-112.33920912620692
29,-118.4590711620675,-120.93771090069106,-108.83892083657761
30,-117.48534892047685,-120.93771090069106,-108.41058610658132
31,-114.92143109398779,-120.84179968639022,-107.51977753589574
32,-114.92143109398779,-120.32692921418749,-107.51977753589574
33,-116.29928726601528,-120.488453235988,-106.83497793523989
34,-113.97158703581088,-119.57030645205501,-106.78190595563458
35,-112.3567242035665,-119.57030645205501,-106.78190595563458
36,-112.3567242035665,-119.57030645205501,-106.78190595563458
37,-110.40957552761293,-117.64183894310528,-106.5814408903759
38,-108.95483952409421,-112.25763734367054,-104.55851508270324
39,-110.19474557412813,-116.76659605826322,-105.6597529976691
40,-110.19474557412813,-116.76659605826322,-105.1815849504199
41,-110.19474557412813,-116.21027007187132,-105.06697103422943
42,-108.52517961712462,-114.89272582913773,-105.63258290608111
43,-106.76380664978447,-113.57518158640413,-104.99945028729246
44,-106.76380664978447,-111.86431153113165,-105.16548066226403
45,-108.61784126612446,-116.11193861873659,-104.05826335613001
46,-105.77875812653997,-114.69606292286828,-103.97686105302046
47,-106.54051202755701,-115.38328602864532,-102.08766114758748
48,-106.54051202755701,-115.38328602864532,-102.08766114758748
49,-106.54051202755701,-115.30665743108645,-101.74822390687706
50,-107.50490021517223,-113.84289881884474,-102.88730949200604
51,-106.54051202755701,-112.37914020660304,-103.98639749831166
52,-107.50490021517223,-113.84289881884474,-102.37223017817615
53,-105.16548066226403,-113.00439134937602,-102.37223017817615
54,-105.16548066226403,-109.2383666554239,-104.52654560162905
55,-105.16548066226403,-109.2383666554239,-104.52654560162905
56,-105.16548066226403,-109.2383666554239,-102.37223017817615
57,-105.16548066226403,-109.2383666554239,-102.37223017817615
58,-105.16548066226403,-109.2383666554239,-100.21791475472327
59,-104.79315808282357,-109.2383666554239,-101.1984616502186
60,-104.4208355033831,-109.2383666554239,-102.17900854571394
61,-104.14010233670462,-108.91244579737034,-104.14010233670462
62,-104.43165197420386,-110.84726991238671,-101.02085558662722
63,-104.43165197420386,-110.84726991238671,-101.02085558662722
64,-104.43165197420386,-110.84726991238671,-101.02085558662722
65,-104.00805558041735,-109.17573743614523,-100.79827804195415
66,-103.57364271581008,-109.0879735565536,-99.90753745865216
67,-103.57364271581008,-108.16271662548365,-99.90753745865216
68,-103.57364271581008,-107.52866807912774,-99.90753745865216
69,-103.57364271581008,-107.96237638828002,-101.13058569999271
70,-103.57364271581008,-107.42317892512942,-101.54730668592315
71,-103.57364271581008,-106.67301649645562,-102.05389069339488
72,-103.57364271581008,-103.57364271581008,-103.43481908419699
73,-103.57364271581008,-103.57364271581008,-103.57364271581008
74,-103.49399957483232,-108.77731609406769,-100.22573140787978
75,-103.31018532681657,-108.77731609406769,-100.22573140787978
76,-103.18555156943614,-108.29113087239853,-100.6662565005609
77,-103.13102040544344,-108.29113087239853,-98.52393090971522
78,-102.3258697867648,-107.80494565072935,-97.26265550423177
79,-102.3258697867648,-107.80494565072935,-97.26265550423177
80,-103.13102040544344,-107.31876042906018,-97.26265550423177
81,-103.13102040544344,-105.25446281774634,-98.5180486968484
82,-101.52071916808616,-107.31876042906018,-97.26265550423177
