1.023689666554836464e+01,1.029037572723861338e+01,1.013502728626193061e+01,1.008053304673002160e+01,9.917905026480141828e+00,9.551780621553504602e+00,9.227204150481895795e+00,8.896676642785655176e+00,8.561075877732434947e+00,8.065578041446103796e+00,7.433658739669271043e+00,6.773618269497251099e+00,6.037642317387987845e+00,5.216915841792165054e+00,4.099193965992788513e+00,3.195673483291397332e+00,2.135652896677759927e+00,1.108670629709850974e+00,3.774409795486555197e-02,-1.308025792050795166e+00,-2.333191091425620645e+00,-3.130342320035259807e+00,-3.430758834275011715e+00,-3.256264753144678892e+00,-2.241767263544001576e+00,-1.011736069569893592e+00,5.265780238023333171e-01,2.191885894885545749e+00,3.662650658950929561e+00,4.996457814209970927e+00,6.115346900675505459e+00,7.271474305784877856e+00,8.334538786038045544e+00,9.400293974835674859e+00,1.048820351229270820e+01
8.159916604974236876e+00,8.223610627939720530e+00,8.143219124100435025e+00,7.958321402323178084e+00,7.705781164561681607e+00,7.382566965366971878e+00,7.007945789562542771e+00,6.710897276974546521e+00,6.137065313433964775e+00,5.539379795053164912e+00,4.899553570968566696e+00,4.318092761546019176e+00,3.502739730437201882e+00,2.736477522540559981e+00,1.864868835088925980e+00,1.011442656590050282e+00,-5.918866227078375952e-02,-1.266556453008381933e+00,-2.228605482408449134e+00,-3.045453244487738242e+00,-3.252245731111181648e+00,-2.893628832733487588e+00,-2.046420069728430935e+00,-7.692281824621458597e-01,6.768232422419300232e-01,2.036201926614972013e+00,3.161214129954037944e+00,4.309330122791906525e+00,5.454000647397225343e+00,6.483881387380033168e+00,7.568012693710046257e+00,8.236955808977018734e+00,9.081141781636073773e+00,9.891664123850967272e+00,1.060600907717205210e+01
8.601409582193710435e+00,8.513287039362005260e+00,8.421813210940230832e+00,8.150149765831100623e+00,7.889267231390776125e+00,7.432904448047629842e+00,7.128424697501635876e+00,6.521700093216561633e+00,6.090123983274517983e+00,5.280903761505790328e+00,4.744316981332465488e+00,4.017064287473135487e+00,3.121112493639086161e+00,2.422379201793106507e+00,1.675187945912733456e+00,8.473282279273762763e-01,-1.014345987558699091e-01,-1.253118355306823917e+00,-2.383242048022697901e+00,-3.068810000780350489e+00,-3.093300959953360074e+00,-2.712233380192237586e+00,-1.966497808858231222e+00,-6.161796031981598976e-01,6.846294622430773025e-01,2.100582408180255989e+00,3.507032597744138780e+00,4.791634451528797634e+00,5.889169904954543178e+00,6.768206131568368811e+00,7.853595357823287770e+00,8.562055213722787883e+00,9.603667651134909278e+00,1.053828310256508871e+01,1.137290798586866636e+01
9.312582626605877323e+00,9.112971067684323856e+00,8.951178873796958868e+00,8.811518693515996148e+00,8.349546971076856394e+00,7.976002566112450509e+00,7.719460316178370363e+00,7.349860366722679395e+00,6.755075805789774179e+00,6.187920719716751172e+00,5.594051493729573110e+00,4.845112737011981530e+00,4.157387176636445858e+00,3.401427009949876457e+00,2.612895139389343147e+00,1.775155501803476366e+00,8.513800755284146593e-01,-1.357268005310508230e-01,-1.225143404146948223e+00,-2.123417879275315112e+00,-2.958711106765739007e+00,-3.191140153317927997e+00,-2.715985110094681243e+00,-1.857967857339764661e+00,-6.698028265737671072e-01,5.921838866302280291e-01,1.823053135111448064e+00,2.883069209717354031e+00,3.980700573308447954e+00,4.991116473305667434e+00,5.859387224079049439e+00,6.642605052779773089e+00,7.464724721527245421e+00,8.102919720027950135e+00,8.678320208479702202e+00
8.108057531374930349e+00,7.933455635676647688e+00,7.816748945198797927e+00,7.577270448038700756e+00,7.328217304633421136e+00,7.062037476325213170e+00,6.652724328488699435e+00,6.070364888038017881e+00,5.473454120991383398e+00,4.916635858685847182e+00,4.301750270306496482e+00,3.475505747216993235e+00,2.619048907770789469e+00,1.725825709519409834e+00,9.497295758255148712e-01,-4.056915399645501241e-02,-1.111024713673524289e+00,-2.014181349111118013e+00,-2.712090914584157186e+00,-2.898988462228242913e+00,-2.555386182338321710e+00,-1.751559380977693259e+00,-8.727967402922354179e-01,1.892093881961414981e-01,1.224649365046169835e+00,2.327031085586340087e+00,3.421813661716005761e+00,4.384926925972358447e+00,5.209833737997805692e+00,5.938532714848712146e+00,6.428979417124260465e+00,7.008614996892514881e+00,7.523980338386055067e+00,8.250458064347183651e+00,8.680426329683543329e+00
1.004146807251616735e+01,1.007257986897985802e+01,9.854530518366281910e+00,9.564900340795581712e+00,9.291767488662715735e+00,8.928740843647034353e+00,8.510349568831884426e+00,8.073925499118573157e+00,7.510098201984314770e+00,6.952227638821445233e+00,6.345183896325883310e+00,5.653474637500294442e+00,4.988917739055252376e+00,4.228860095329196156e+00,3.217367024055345137e+00,2.240563776816791197e+00,1.152082771514752579e+00,9.364322281081641219e-02,-1.000330117073951808e+00,-2.097074339775645502e+00,-2.875426572286607918e+00,-3.314770839964312543e+00,-3.184884619486779922e+00,-2.437578816381833935e+00,-1.120228988487596888e+00,2.589173439216367889e-01,1.681764718124908908e+00,3.082647447873504643e+00,4.194684369936316770e+00,5.527445387085838213e+00,6.482776736107801696e+00,7.513506530905724290e+00,8.618497626345195783e+00,9.384644289319551191e+00,1.011916633514152508e+01
9.270754576350391574e+00,8.996381403599224669e+00,8.859244152903359648e+00,8.491545808779388693e+00,8.268502914906509460e+00,7.867923781761351876e+00,7.550733412088314722e+00,7.140838259790337261e+00,6.578843858010508860e+00,6.042871911007544838e+00,5.191625905629125626e+00,4.433135980560706457e+00,3.679629734775588190e+00,2.723538155819634987e+00,1.644186254473462450e+00,6.722462160659816721e-01,-2.279607844450264320e-01,-1.202524199766786595e+00,-2.154200255597230829e+00,-2.696706931354412085e+00,-2.831828798258681168e+00,-2.694744589947710711e+00,-1.981237470633728570e+00,-1.131499143598274637e+00,8.804525570605895024e-02,1.182879527032552724e+00,2.287921178009694856e+00,3.531286791684951076e+00,4.516043913048515712e+00,5.447483951643043554e+00,6.297967424732972219e+00,7.307950214889613605e+00,8.244949992194602117e+00,8.826918989201901766e+00,9.433282911768792189e+00
9.444614411606703896e+00,9.412922031826775893e+00,9.253434723695967534e+00,9.143720198452415460e+00,8.779631289417689999e+00,8.443413954677247091e+00,8.240032820800278657e+00,7.721710859266761595e+00,7.326502361160705412e+00,7.043480369560305654e+00,6.649589010033625236e+00,6.133044752769136743e+00,5.418576534897719732e+00,4.466473756406480256e+00,3.623296866426823026e+00,2.781557829327700571e+00,1.578931233701301284e+00,4.898755198186268145e-01,-5.546744303911951279e-01,-1.679907655966997648e+00,-2.714575463870257277e+00,-3.088697339313239976e+00,-3.177487665962811292e+00,-2.484487758156511461e+00,-1.653779632691127599e+00,-2.307863904186247539e-01,1.137028157644880189e+00,2.399721547831432211e+00,3.592508545557778099e+00,4.785210477350827496e+00,5.816173143899943554e+00,6.957048555493770436e+00,7.957313508074259190e+00,8.925544693050733613e+00,9.800652373271438123e+00
6.963674494439576534e+00,7.002231650685228459e+00,7.008054649516535228e+00,6.913775768439672120e+00,6.682059155732757105e+00,6.253099213241435805e+00,5.772160153815095285e+00,5.309650480887921908e+00,4.699453778016680516e+00,4.144658415611826463e+00,3.566927725513172831e+00,3.077219383360465521e+00,2.303029082409303374e+00,1.465992498947018552e+00,4.957939186216625549e-01,-5.041789945543979634e-01,-1.432049436694496247e+00,-2.233353817376336536e+00,-2.604687966618692840e+00,-2.511282544440524234e+00,-1.993600873522112238e+00,-1.295555648715076558e+00,-2.055830422001299340e-01,5.317114958925857060e-01,1.437738144828039744e+00,2.330725968451707875e+00,2.973083806094188208e+00,3.706666081207219410e+00,4.409131006094382244e+00,5.032763842419443634e+00,5.548346656995787107e+00,5.881378338170394571e+00,6.291947188374804156e+00,6.793026372842643212e+00,7.045751820648803232e+00
8.061800656219448413e+00,7.980781482249073910e+00,7.806798291443374893e+00,7.672219952590802805e+00,7.569104026213068437e+00,7.271213193360154925e+00,7.026642970905063734e+00,6.656122951691247458e+00,6.173609552768703601e+00,5.742080231782226818e+00,4.974673850715282342e+00,4.235299906541493797e+00,3.494517597415040644e+00,2.714357690198952788e+00,1.883407885022924999e+00,9.843615782198134045e-01,-8.151300140176886977e-02,-9.888042086055550683e-01,-1.850065961149260474e+00,-2.419237778428484198e+00,-2.717820396004005268e+00,-2.589752009786183251e+00,-2.048642029492971695e+00,-1.112898991913425784e+00,-2.642669598973451661e-01,7.491491415381914543e-01,1.481602243856809942e+00,2.411296218821828763e+00,3.262211923640149447e+00,4.165804786170905771e+00,5.107712640464503018e+00,5.829055266841864480e+00,6.484222302009924555e+00,7.153713237515668233e+00,7.748602973248412518e+00
