ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.0	13.42	235.92	170.2	1	0	30	100	18.0	566.0	416.0	100	10.0	86.0	62.0	24	0	0	22.38063931465149	80	22.38063931465149	50	37.5	
99.2125	13.4875	226.775	163.3875	2	1	52	170	18	566	416	42	9	68	50	24	0	0	64.56577754020691	160	86.9464168548584	103	35.625	
102.225	13.025	214.35	153.3125	3	2	65	170	18	492	354	42	9	68	50	26	0	0	78.02824091911316	240	164.97465777397156	165	31.25	
103.7875	13.0125	221.925	158.675	3	3	83	170	19	503	363	94	9	68	50	27	0	0	42.33917832374573	320	207.31383609771729	223	30.3125	
103.1	12.6625	206.5	147.1625	3	4	99	170	18	398	272	71	9	68	50	27	0	0	109.0956175327301	400	316.4094536304474	283	29.25	
102.525	12.8125	217.425	154.5125	2	5	108	158	18	398	272	71	9	61	45	25	0	0	79.21167635917664	480	395.621129989624	350	27.083333333333343	
100.8375	12.4875	208.625	147.8125	2	6	125	125	16	398	272	65	9	61	45	24	0	0	60.15035653114319	560	455.7714865207672	409	26.964285714285722	
103.0875	12.5875	210.2375	148.85	3	7	136	158	16	398	272	65	9	68	50	24	0	0	73.06010413169861	640	528.8315906524658	474	25.9375	
103.4875	12.575	211.5	149.8	3	8	157	158	17	581	417	84	9	68	50	24	0	0	72.72032260894775	720	601.5519132614136	529	26.52777777777777	
104.7	12.45	199.1125	141.1375	3	9	170	158	15	398	272	84	9	68	50	24	0	0	140.98020100593567	800	742.5321142673492	592	26.0	
105.15	12.5	195.5875	138.625	3	10	183	158	15	398	272	84	9	68	50	24	0	0	111.51137185096741	880	854.0434861183167	655	25.568181818181827	
105.9	12.475	188.8875	134.375	4	11	195	158	16	348	251	84	10	106	78	23	0	0	46.330467224121094	960	900.3739533424377	719	25.10416666666667	
106.05	12.675	190.075	135.325	4	12	207	127	16	348	251	84	11	125	88	24	0	0	81.25451374053955	1040	981.6284670829773	783	24.711538461538467	
107.6625	12.6	184.225	131.3375	4	13	215	168	16	348	251	84	11	125	88	25	0	0	118.93725776672363	1120	1100.565724849701	851	24.017857142857153	
108.9375	12.5	179.175	127.675	4	14	227	168	16	348	251	90	11	125	88	25	0	0	74.42778706550598	1200	1174.993511915207	914	23.83333333333333	
109.2875	12.575	176.3875	125.7625	3	15	239	168	17	348	251	90	11	127	92	26	0	0	57.18064093589783	1280	1232.1741528511047	978	23.59375	
109.3625	12.4875	172.775	123.1125	4	16	247	188	17	348	251	48	10	113	81	25	0	0	52.464630365371704	1360	1284.6387832164764	1046	23.088235294117638	
108.4875	12.2875	165.975	118.3375	4	17	260	188	17	348	251	48	10	113	81	23	0	0	24.2985577583313	1440	1308.9373409748077	1109	22.986111111111114	
107.85	12.45	171.0125	122.1625	4	18	271	188	28	670	492	48	10	113	81	23	0	0	40.846314430236816	1520	1349.7836554050446	1174	22.763157894736835	
105.025	12.3375	165.05	117.975	4	19	276	135	28	670	492	48	10	75	55	22	0	0	42.979289293289185	1600	1392.7629446983337	1244	22.25	
102.125	12.2375	162.975	116.85	3	20	289	135	28	670	492	48	10	73	54	20	0	0	31.446332931518555	1680	1424.2092776298523	1303	22.44047619047619	
98.55	11.9625	155.075	111.1	4	21	303	125	19	377	275	48	10	70	51	20	0	0	43.12796378135681	1760	1467.337241411209	1363	22.556818181818187	
95.85	11.8875	153.525	110.075	4	22	320	125	19	377	275	26	10	70	51	20	0	0	32.6919732093811	1840	1500.0292146205902	1422	22.717391304347828	
93.4375	11.8125	152.1125	109.1	4	23	336	125	19	377	275	26	10	70	51	20	0	0	38.23041129112244	1920	1538.2596259117126	1481	22.86458333333333	
87.3375	11.7	153.8	110.425	4	24	358	125	19	377	275	26	10	70	51	22	0	0	22.71889591217041	2000	1560.978521823883	1534	23.299999999999997	
83.525	11.5625	154.3875	110.925	4	25	371	125	17	225	157	26	10	70	51	22	0	0	27.235711336135864	2080	1588.214233160019	1597	23.22115384615384	
80.9	11.375	153.5	110.475	4	26	388	125	13	218	156	48	10	70	51	21	0	0	22.144287586212158	2160	1610.358520746231	1654	23.425925925925924	
77.8	11.25	154.125	111.0125	4	27	405	125	13	192	135	48	10	70	51	23	0	0	24.154887914657593	2240	1634.5134086608887	1712	23.571428571428584	
77.5	11.3	155.5	111.975	3	28	418	152	13	192	135	48	10	70	51	23	0	0	36.56382966041565	2320	1671.0772383213043	1773	23.577586206896555	
75.7375	11.2375	154.925	111.7125	5	29	438	152	13	188	134	48	10	70	51	21	0	0	43.012054204940796	2400	1714.0892925262451	1823	24.041666666666657	
73.5	11.325	158.4625	114.15	5	30	467	152	13	188	134	48	10	70	51	20	0	0	18.536787271499634	2480	1732.6260797977448	1868	24.67741935483872	
67.725	11.4625	160.825	115.925	4	31	489	152	13	188	134	48	10	70	51	22	0	0	29.13183093070984	2560	1761.7579107284546	1919	25.0390625	
56.4875	11.4875	166.1375	119.825	6	32	506	125	13	188	134	48	10	75	55	20	0	0	26.284573078155518	2640	1788.04248380661	1974	25.227272727272734	
49.7625	11.525	169.85	122.5875	4	33	531	125	13	188	134	48	11	146	104	20	0	0	29.32963752746582	2720	1817.372121334076	2021	25.69852941176471	
48.8	11.5	169.775	122.5875	6	34	554	112	13	188	134	48	11	164	119	19	0	0	24.975954294204712	2800	1842.3480756282806	2068	26.14285714285714	
48.0	11.5	170.0	122.75	7	35	584	48	13	188	134	48	11	164	119	18	0	0	16.95972990989685	2880	1859.3078055381775	2111	26.701388888888886	
48.0	11.45	169.4	122.375	6	36	614	48	13	188	134	48	11	164	119	18	0	0	17.788007497787476	2960	1877.095813035965	2154	27.22972972972974	
48.0875	11.425	169.35	122.3625	3	37	638	55	13	188	134	48	11	164	119	17	0	0	32.25139832496643	3040	1909.3472113609314	2202	27.565789473684205	
48.175	11.4	169.3	122.35	3	38	665	55	13	188	134	48	11	164	119	16	0	0	19.903069019317627	3120	1929.250280380249	2248	27.948717948717956	
48.2625	11.4	169.55	122.525	3	39	695	55	13	188	134	48	11	164	119	16	0	0	25.302429676055908	3200	1954.552710056305	2292	28.375	
