generation median_fitness fitness_25perc fitness_75perc
0 -183.32616291720166 -183.35413235026158 -183.29385929186878
1 -150.10903111094586 -150.13307969752958 -150.0939977030908
2 -150.10903111094586 -150.13307969752958 -150.0939977030908
3 -150.10903111094586 -150.13307969752958 -150.0939977030908
4 -126.2435711437569 -132.50970192517755 -124.68338652331437
5 -122.1466239565629 -122.73593405765338 -118.48682630748341
6 -111.55600472565578 -119.93200673580827 -110.59713827813593
7 -111.55072642692647 -112.41506453353435 -110.27649530145149
8 -111.54779034625886 -111.55834694371747 -102.33326132259604
9 -110.66435166222907 -111.3026296574887 -102.33326132259604
10 -105.79689104077647 -111.3026296574887 -102.32917095919326
11 -105.79689104077647 -110.88555763071469 -101.34537026750071
12 -105.79689104077647 -107.18248914123788 -101.34537026750071
13 -105.79689104077647 -107.18248914123788 -101.34537026750071
14 -105.79689104077647 -107.18248914123788 -101.34537026750071
15 -101.86318416854044 -107.18248914123788 -99.06795268571649
16 -101.86318416854044 -107.18248914123788 -93.83709462770892
17 -99.92107817128013 -107.05611323969549 -93.83709462770892
18 -99.49221152684511 -106.91929864753 -91.61327067915576
19 -98.19610946858167 -101.64870074920027 -91.61327067915576
20 -96.62580814988281 -99.84262060639716 -89.3894467306026
21 -94.76094523534562 -98.95100807036643 -86.85911761035973
22 -93.01709055106706 -97.56292300209074 -87.7017560245717
23 -92.44656882932347 -94.00785343005542 -87.7017560245717
24 -92.17751529380658 -94.48675346676842 -86.36415451819794
25 -91.92505219459886 -96.16584282443121 -86.71224127258824
26 -91.92505219459886 -96.16584282443121 -86.71224127258824
27 -89.95724811289429 -94.56820788982216 -86.66703649640044
28 -89.05794118199753 -94.10956375928117 -86.28973561156013
29 -88.36690469138892 -94.02388587583857 -86.28973561156013
30 -88.32031051243686 -93.02548934241125 -85.83637352550619
31 -88.59374443758168 -93.46950404793645 -84.63030960644994
32 -91.28793984497702 -94.805964779074 -84.05549660764302
33 -91.28793984497702 -94.805964779074 -83.64972401022234
34 -89.53506954385868 -94.39456980109487 -81.58348639396335
35 -87.44757513411898 -93.5181346505357 -81.41617433965266
36 -87.44757513411898 -93.5181346505357 -81.41617433965266
37 -87.1129510254976 -87.49060011810175 -79.51724877770435
38 -87.1129510254976 -87.49060011810175 -79.51724877770435
39 -87.30177557179968 -88.80760024435634 -81.41617433965266
40 -84.83869119456783 -87.49060011810175 -79.51724877770435
41 -84.10947239075941 -87.79462479482495 -79.54255230343482
42 -84.10947239075941 -87.76439140259623 -79.54255230343482
43 -84.10947239075941 -85.79293498853826 -79.54255230343482
44 -80.74065100893085 -84.35480885060726 -77.85775422332523
45 -80.74065100893085 -84.35480885060726 -77.85775422332523
46 -79.66348604707377 -85.3953384291772 -77.85933699781614
47 -79.66348604707377 -85.3953384291772 -77.85933699781614
48 -78.76299429693586 -82.18503761320095 -76.92186851890543
49 -78.76299429693586 -82.18503761320095 -76.92186851890543
50 -78.76299429693586 -81.04192626950807 -76.92186851890543
51 -78.76299429693586 -81.04192626950807 -76.92186851890543
52 -78.76299429693586 -81.04192626950807 -76.92186851890543
53 -78.76299429693586 -81.02531071656529 -76.37897836110835
54 -78.76299429693586 -81.02531071656529 -75.42603362177874
55 -78.44321075484538 -81.02531071656529 -75.2661418507335
56 -78.44321075484538 -81.02531071656529 -75.2661418507335
57 -78.44321075484538 -80.65681199471666 -75.2661418507335
58 -77.4709325168313 -78.68329602208826 -75.2661418507335
59 -76.46860036796359 -78.68329602208826 -74.76497577629965
60 -77.7189295710456 -79.00475150576915 -75.21827116488157
61 -77.7189295710456 -79.00475150576915 -75.20182380008245
62 -78.36184053840738 -80.12021049331372 -75.83110024282324
63 -78.36184053840738 -80.12021049331372 -75.80128474421178
64 -77.7189295710456 -79.00475150576915 -75.16206980193384
65 -76.97171104975368 -80.12021049331372 -74.40494583708758
66 -74.9386705937382 -78.20703533394234 -74.22703758487071
67 -74.9386705937382 -78.20703533394234 -74.22703758487071
68 -74.9386705937382 -78.20703533394234 -74.22703758487071
69 -74.9386705937382 -75.8306162092102 -74.22703758487071
70 -75.3846434014742 -79.32667666917399 -74.40494583708758
